time,id,x,y,vx,vy,ax,ay,fx,fy
0.0000,A,3.006010,10.900505,20.060095,9.005054,0.600951,-9.949463,12.019019,-198.989265
0.0000,B,3.512025,20.898675,15.120250,8.986749,1.202502,-10.132514,12.025018,-101.325140
0.0000,C,0.010912,50.899148,10.109122,8.991485,1.091218,-10.085155,12.003395,-110.936701
0.1000,A,5.018024,11.701517,20.120140,8.010118,0.600453,-9.949353,12.009066,-198.987057
0.1000,B,5.036086,21.696034,15.240608,7.973596,1.203581,-10.131526,12.035812,-101.315264
0.1000,C,1.032737,51.697446,10.218248,7.982973,1.091265,-10.085120,12.003910,-110.936321
0.2000,A,7.036037,12.403036,20.180135,7.015187,0.599951,-9.949312,11.999012,-198.986231
0.2000,B,6.572192,22.392090,15.361058,6.960551,1.204498,-10.130448,12.044980,-101.304481
0.2000,C,2.065475,52.394892,10.327379,6.974464,1.091309,-10.085083,12.004400,-110.935915
0.3000,A,9.060045,13.005061,20.240081,6.020253,0.599453,-9.949338,11.989052,-198.986765
0.3000,B,8.120350,22.986852,15.481584,5.947619,1.205256,-10.129318,12.052556,-101.293181
0.3000,C,3.109126,52.991488,10.436514,5.965960,1.091351,-10.085044,12.004864,-110.935485
0.4000,A,11.090043,13.507592,20.299978,5.025310,0.598969,-9.949430,11.979370,-198.988595
0.4000,B,9.680567,23.480332,15.602170,4.934802,1.205864,-10.128169,12.058636,-101.281691
0.4000,C,4.163692,53.487234,10.545653,4.957459,1.091391,-10.085003,12.005302,-110.935035
0.5000,A,13.126026,13.910628,20.359828,4.030352,0.598506,-9.949581,11.970128,-198.991617
0.5000,B,11.252847,23.872542,15.722804,3.922100,1.206335,-10.127028,12.063354,-101.270276
0.5000,C,5.229171,53.882130,10.654796,3.948963,1.091428,-10.084961,12.005713,-110.934567
0.6000,A,15.167989,14.214165,20.419636,3.035374,0.598073,-9.949785,11.961461,-198.995702
0.6000,B,12.837195,24.163493,15.843472,2.909508,1.206687,-10.125914,12.066866,-101.259141
0.6000,C,6.305566,54.176178,10.763943,2.940472,1.091463,-10.084917,12.006096,-110.934084
0.7000,A,17.215930,14.418202,20.479403,2.040370,0.597674,-9.950035,11.953471,-199.000699
0.7000,B,14.433611,24.353195,15.964166,1.897024,1.206933,-10.124843,12.069333,-101.248432
0.7000,C,7.392875,54.369376,10.873092,1.931985,1.091496,-10.084872,12.006452,-110.933589
0.8000,A,19.269843,14.522736,20.539134,1.045338,0.597311,-9.950322,11.946227,-199.006450
0.8000,B,16.042099,24.441659,16.084875,0.884641,1.207091,-10.123825,12.070913,-101.238248
0.8000,C,8.491099,54.461726,10.982245,0.923502,1.091526,-10.084826,12.006782,-110.933084
0.9000,A,21.329726,14.527763,20.598833,0.050274,0.596988,-9.950640,11.939770,-199.012793
0.9000,B,17.662658,24.428895,16.205592,-0.127645,1.207175,-10.122865,12.071754,-101.228651
0.9000,C,9.600239,54.453229,11.091400,-0.084976,1.091553,-10.084779,12.007085,-110.932572
